,vaccination_ratio,new_deaths_per_million,reproduction_rate,positive_rate,stringency_index
2020-01-01,0.0,0.0,5.730776059730084,0.0,
2020-01-02,0.0,0.0,5.6848739622465825,0.0,
2020-01-03,0.0,0.0,5.638971864763081,0.0,
2020-01-04,0.0,0.0,5.59306976727958,0.0,
2020-01-05,0.0,0.0,5.547167669796079,0.0,
2020-01-06,0.0,0.0,5.501265572312578,0.0,0.0
2020-01-07,0.0,0.0,5.455363474829077,0.0,
2020-01-08,0.0,0.0,5.4094613773455755,0.0,
2020-01-09,0.0,0.0,5.363559279862074,0.0,
2020-01-10,0.0,0.0,5.317657182378573,0.0,
2020-01-11,0.0,0.0,5.271755084895072,0.0,
2020-01-12,0.0,0.0,5.225852987411572,0.0,
2020-01-13,0.0,0.0,5.179950889928071,0.0,
2020-01-14,0.0,0.0,5.1340487924445695,0.0,
2020-01-15,0.0,0.0,5.088146694961068,0.0,
2020-01-16,0.0,0.0,5.042244597477567,0.0,
2020-01-17,0.0,0.0,4.996342499994066,0.0,
2020-01-18,0.0,0.0,4.950440402510565,0.0,0.0
2020-01-19,0.0,0.0,4.904538305027064,0.0,
2020-01-20,0.0,0.0,4.8586362075435625,0.0,
2020-01-21,0.0,0.0,4.812734110060061,0.0,
2020-01-22,0.0,0.0,4.76683201257656,0.0,
2020-01-23,0.0,0.0,4.720929915093059,0.0,
2020-01-24,0.0,0.0,4.675027817609558,0.0,2.2239999999999998
2020-01-25,0.0,0.0,4.629125720126057,0.0,5.56
2020-01-26,0.0,0.0,4.583223622642556,0.0,5.56
2020-01-27,0.0,0.0,4.537321525159054,0.0,5.56
2020-01-28,0.0,0.0,4.491419427675553,0.0,5.56
2020-01-29,0.0,0.0,4.445517330192052,0.0,5.56
2020-01-30,0.0,0.0,4.399615232708551,0.0,5.56
2020-01-31,0.0,0.0,4.35371313522505,0.0,8.796666666666667
2020-02-01,0.0,0.0,4.307811037741549,0.0,8.68125
2020-02-02,0.0,0.0,4.2619089402580475,0.0,6.197692307692308
2020-02-03,0.0,0.0,4.216006842774546,0.0,7.223000000000001
2020-02-04,0.0,0.0,4.170104745291045,0.0,7.576363636363637
2020-02-05,0.0,0.0,4.124202647807544,0.0,6.944999999999999
2020-02-06,0.0,0.0,4.078300550324043,0.0,7.479230769230769
2020-02-07,0.0,0.0,4.032398452840542,0.0,7.479230769230768
2020-02-08,0.0,0.0,3.9864963553570405,0.0,7.479230769230769
2020-02-09,0.0,0.0,3.9405942578735393,0.0,6.5981250000000005
2020-02-10,0.0,0.0,3.894692160390038,0.0,7.479230769230769
2020-02-11,0.0,0.0,3.848790062906537,0.0,7.479230769230769
2020-02-12,0.0,0.0,3.802887965423036,0.0,7.906153846153846
2020-02-13,0.0,0.0,3.7569858679395347,0.0,7.906153846153846
2020-02-14,0.0,0.0,3.7110837704560335,0.0,7.906153846153846
2020-02-15,0.0,0.015,3.6651816729725324,0.0,6.945
2020-02-16,0.0,0.0,3.6192795754890312,0.0,7.906153846153846
2020-02-17,0.0,0.0,3.57337747800553,0.0,7.906153846153845
2020-02-18,0.0,0.0,3.527475380522029,0.0,7.906153846153846
2020-02-19,0.0,0.0,3.4815732830385278,0.0,7.906153846153846
2020-02-20,0.0,0.0,3.4356711855550266,0.0,7.906153846153846
2020-02-21,0.0,0.0085,3.3897690880715254,0.0,8.547692307692309
2020-02-22,0.0,0.0085,3.3438669905880243,0.0,9.26
2020-02-23,0.0,0.0085,3.297964893104523,0.0,10.321764705882353
2020-02-24,0.0,0.033,3.56,0.0,11.144285714285713
2020-02-25,0.0,0.025,3.51,0.0,11.599444444444442
2020-02-26,0.0,0.024,3.44,0.0,12.142272727272728
2020-02-27,0.0,0.0415,3.36,0.0,13.130000000000003
2020-02-28,0.0,0.033,3.25,0.0,12.945000000000002
2020-02-29,0.0,0.066,3.12,0.0,14.382333333333337
2020-03-01,0.0,0.0415,3.0250000000000004,0.0,14.438125000000001
2020-03-02,0.0,0.1565,2.9433333333333334,0.0475,14.533636363636365
2020-03-03,0.0,7.487,2.774,0.0395,14.867142857142857
2020-03-04,0.0,0.12100000000000001,2.762,0.0425,15.339729729729735
2020-03-05,0.0,0.1718,2.7779999999999996,0.04916666666666667,16.32500000000001
2020-03-06,0.0,0.1365714285714286,2.765,0.06766666666666665,16.618717948717947
2020-03-07,0.0,0.11728571428571428,2.7310000000000003,0.05487500000000001,16.761282051282056
2020-03-08,0.0,0.37528571428571433,2.7309999999999994,0.06144444444444445,17.931219512195128
2020-03-09,0.0,0.245875,2.7663636363636357,0.06677777777777777,20.490952380952383
2020-03-10,0.0,3.6493333333333333,2.7845454545454547,0.06608333333333334,25.142380952380954
2020-03-11,0.0,0.36464285714285716,2.7091666666666665,0.07121428571428572,29.397380952380953
2020-03-12,0.0,2.0548125,2.6475000000000004,0.06212500000000001,35.449523809523804
2020-03-13,0.0,3.9120588235294114,2.5415384615384613,0.08111764705882353,42.636428571428574
2020-03-14,0.0,0.4144761904761905,2.3261111111111115,0.088,46.468604651162785
2020-03-15,0.0,0.43090909090909085,2.2281818181818185,0.08604999999999999,49.55813953488373
2020-03-16,0.0,3.0884090909090904,2.1260869565217395,0.08522222222222219,57.91348837209303
2020-03-17,0.0,0.616391304347826,2.0830434782608696,0.08461111111111111,61.41302325581396
2020-03-18,0.0,5.549625000000002,2.069200000000001,0.08316666666666668,64.37325581395349
2020-03-19,0.0,0.8695384615384614,2.0184615384615388,0.08773684210526315,65.88046511627905
