,vaccination_ratio,new_deaths_per_million,reproduction_rate,positive_rate,stringency_index
2020-01-01,0.0,0.0,5.847293967978153,0.0,
2020-01-02,0.0,0.0,5.80058112732495,0.0,
2020-01-03,0.0,0.0,5.7538682866717465,0.0,
2020-01-04,0.0,0.0,5.707155446018544,0.0,
2020-01-05,0.0,0.0,5.660442605365341,0.0,
2020-01-06,0.0,0.0,5.613729764712137,0.0,
2020-01-07,0.0,0.0,5.567016924058935,0.0,
2020-01-08,0.0,0.0,5.5203040834057315,0.0,
2020-01-09,0.0,0.0,5.473591242752529,0.0,
2020-01-10,0.0,0.0,5.426878402099326,0.0,
2020-01-11,0.0,0.0,5.380165561446122,0.0,
2020-01-12,0.0,0.0,5.33345272079292,0.0,
2020-01-13,0.0,0.0,5.2867398801397165,0.0,
2020-01-14,0.0,0.0,5.240027039486513,0.0,
2020-01-15,0.0,0.0,5.193314198833311,0.0,
2020-01-16,0.0,0.0,5.146601358180107,0.0,
2020-01-17,0.0,0.0,5.099888517526904,0.0,
2020-01-18,0.0,0.0,5.0531756768737015,0.0,
2020-01-19,0.0,0.0,5.006462836220498,0.0,
2020-01-20,0.0,0.0,4.959749995567296,0.0,
2020-01-21,0.0,0.0,4.913037154914092,0.0,
2020-01-22,0.0,0.0,4.866324314260889,0.0,
2020-01-23,0.0,0.0,4.8196114736076865,0.0,
2020-01-24,0.0,0.0,4.772898632954483,0.0,
2020-01-25,0.0,0.0,4.72618579230128,0.0,
2020-01-26,0.0,0.0,4.679472951648077,0.0,
2020-01-27,0.0,0.0,4.632760110994874,0.0,
2020-01-28,0.0,0.0,4.586047270341671,0.0,
2020-01-29,0.0,0.0,4.539334429688468,0.0,
2020-01-30,0.0,0.0,4.492621589035265,0.0,
2020-01-31,0.0,0.0,4.445908748382061,0.0,
2020-02-01,0.0,0.0,4.399195907728859,0.0,
2020-02-02,0.0,0.0,4.352483067075656,0.0,
2020-02-03,0.0,0.0,4.305770226422452,0.0,
2020-02-04,0.0,0.0,4.25905738576925,0.0,
2020-02-05,0.0,0.0,4.212344545116046,0.0,
2020-02-06,0.0,0.0,4.165631704462843,0.0,
2020-02-07,0.0,0.0,4.118918863809641,0.0,
2020-02-08,0.0,0.0,4.072206023156437,0.0,
2020-02-09,0.0,0.0,4.025493182503234,0.0,
2020-02-10,0.0,0.0,3.9787803418500314,0.0,
2020-02-11,0.0,0.0,3.932067501196828,0.0,
2020-02-12,0.0,0.0,3.8853546605436255,0.0,
2020-02-13,0.0,0.0,3.838641819890422,0.0,
2020-02-14,0.0,0.0,3.791928979237219,0.0,
2020-02-15,0.0,0.0,3.7452161385840164,0.0,
2020-02-16,0.0,0.0,3.698503297930813,0.0,
2020-02-17,0.0,0.0,3.6517904572776096,0.0,
2020-02-18,0.0,0.0,3.605077616624407,0.0,
2020-02-19,0.0,0.0,3.558364775971204,0.0,
2020-02-20,0.0,0.0,3.5116519353180005,0.0,
2020-02-21,0.0,0.0,3.464939094664798,0.0,
2020-02-22,0.0,0.0,3.4182262540115946,0.0,
2020-02-23,0.0,0.0,3.3715134133583913,0.0,
2020-02-24,0.0,0.0,3.324800572705189,0.0,
2020-02-25,0.0,0.0,3.2780877320519854,0.0,
2020-02-26,0.0,0.0,3.231374891398783,0.0,
2020-02-27,0.0,0.0,3.1846620507455796,0.0,5.56
